a = -230.610201; b = 3511718.077515; cout = 9634090322012.396484
a = 6786703.917095; b = 838477.188866; cout = 9619770615440.320312
a = 6786705.349278; b = 848341.699015; cout = 9624241665523.628906
a = 6786706.781461; b = 858206.209165; cout = 9628908070649.248047
a = 6786708.213644; b = 868070.719314; cout = 9633769830817.185547
a = 6786709.645827; b = 877935.229463; cout = 9638826946027.466797
a = 6786711.078010; b = 887799.739613; cout = 9644079416280.029297
a = 6786712.510193; b = 897664.249762; cout = 9649527241574.910156
a = 6786713.942376; b = 907528.759912; cout = 9655170421912.119141
a = 6796524.885590; b = 345253.113580; cout = 9509314574029.087891
a = 6796526.317773; b = 355117.623730; cout = 9506854334701.373047
a = 6796527.749956; b = 364982.133879; cout = 9504589450416.021484
a = 6796529.182139; b = 374846.644029; cout = 9502519921172.974609
a = 6796530.614322; b = 384711.154178; cout = 9500645746972.244141
a = 6796532.046505; b = 394575.664327; cout = 9498966927813.843750
a = 6796533.478688; b = 404440.174477; cout = 9497483463697.771484
a = 6796534.910871; b = 414304.684626; cout = 9496195354623.988281
a = 6796536.343054; b = 424169.194775; cout = 9495102600592.523438
a = 6796537.775237; b = 434033.704925; cout = 9494205201603.376953
a = 6796539.207420; b = 443898.215074; cout = 9493503157656.556641
a = 6796540.639603; b = 453762.725223; cout = 9492996468752.056641
a = 6796542.071786; b = 463627.235373; cout = 9492685134889.865234
a = 6796543.503969; b = 473491.745522; cout = 9492569156069.982422
a = 6796544.936152; b = 483356.255672; cout = 9492648532292.451172
a = 6796546.368335; b = 493220.765821; cout = 9492923263557.177734
a = 6796547.800518; b = 503085.275970; cout = 9493393349864.277344
a = 6796549.232701; b = 512949.786120; cout = 9494058791213.705078
a = 6796550.664883; b = 522814.296269; cout = 9494919587605.412109
a = 6796552.097066; b = 532678.806418; cout = 9495975739039.462891
a = 6796553.529249; b = 542543.316568; cout = 9497227245515.800781
a = 6796554.961432; b = 552407.826717; cout = 9498674107034.496094
a = 6796556.393615; b = 562272.336867; cout = 9500316323595.486328
a = 6796557.825798; b = 572136.847016; cout = 9502153895198.777344
a = 6796559.257981; b = 582001.357165; cout = 9504186821844.425781
a = 6796560.690164; b = 591865.867315; cout = 9506415103532.349609
a = 6796562.122347; b = 601730.377464; cout = 9508838740262.626953
a = 6796563.554530; b = 611594.887613; cout = 9511457732035.230469
a = 6796564.986713; b = 621459.397763; cout = 9514272078850.103516
a = 6796566.418896; b = 631323.907912; cout = 9517281780707.326172
a = 6796567.851079; b = 641188.418062; cout = 9520486837606.869141
a = 6796569.283262; b = 651052.928211; cout = 9523887249548.718750
a = 6796570.715445; b = 660917.438360; cout = 9527483016532.888672
a = 6796572.147628; b = 670781.948510; cout = 9531274138559.382812
a = 6806398.844855; b = 217015.913822; cout = 9442003266229.351562
a = 6806400.277038; b = 226880.423971; cout = 9439839874056.455078
a = 6806401.709220; b = 236744.934120; cout = 9437871836925.871094
a = 6806403.141403; b = 246609.444270; cout = 9436099154837.585938
a = 6806404.573586; b = 256473.954419; cout = 9434521827791.650391
a = 6806406.005769; b = 266338.464568; cout = 9433139855787.976562
a = 6806407.437952; b = 276202.974718; cout = 9431953238826.683594
a = 6806408.870135; b = 286067.484867; cout = 9430961976907.669922
a = 6806410.302318; b = 295931.995017; cout = 9430166070030.990234
a = 6806411.734501; b = 305796.505166; cout = 9429565518196.644531
a = 6806413.166684; b = 315661.015315; cout = 9429160321404.554688
a = 6806414.598867; b = 325525.525465; cout = 9428950479654.843750
a = 6806416.031050; b = 335390.035614; cout = 9428935992947.437500
a = 6806417.463233; b = 345254.545763; cout = 9429116861282.335938
a = 6806418.895416; b = 355119.055913; cout = 9429493084659.562500
a = 6806420.327599; b = 364983.566062; cout = 9430064663079.097656
a = 6806421.759782; b = 374848.076211; cout = 9430831596540.978516
a = 6806423.191965; b = 384712.586361; cout = 9431793885045.132812
a = 6806424.624148; b = 394577.096510; cout = 9432951528591.623047
a = 6806426.056331; b = 404441.606660; cout = 9434304527180.449219
a = 6806427.488514; b = 414306.116809; cout = 9435852880811.583984
a = 6816272.804119; b = 88778.714063; cout = 9389742433708.378906
a = 6816274.236302; b = 98643.224212; cout = 9387875888690.238281
a = 6816275.668485; b = 108507.734361; cout = 9386204698714.425781
a = 6816277.100668; b = 118372.244511; cout = 9384728863780.916016
a = 6816278.532851; b = 128236.754660; cout = 9383448383889.738281
a = 6816279.965034; b = 138101.264810; cout = 9382363259040.888672
a = 6816281.397217; b = 147965.774959; cout = 9381473489234.322266
a = 6816282.829400; b = 157830.285108; cout = 9380779074470.085938
a = 6964270.106736; b = 9055533.382703; cout = 9265913801641.628906
a = 6964218.253362; b = 9065395.918330; cout = 9270020600035.697266
a = 6964219.685545; b = 9075260.428479; cout = 9273709411066.371094
a = 6964221.117728; b = 9085124.938629; cout = 9277593577139.339844
a = 6964222.549911; b = 9094989.448778; cout = 9281673098254.664062
a = 6964223.982094; b = 9104853.958927; cout = 9285947974412.269531
a = 6964225.414277; b = 9114718.469077; cout = 9290418205612.177734
a = 6964226.846460; b = 9124582.979226; cout = 9295083791854.433594
a = 6964228.278642; b = 9134447.489376; cout = 9299944733139.013672
a = 6964229.710825; b = 9144311.999525; cout = 9305001029465.912109
a = 6964231.143008; b = 9154176.509674; cout = 9310252680835.119141
a = 6964232.575191; b = 9164041.019824; cout = 9315699687246.650391
a = 6964234.007374; b = 9173905.529973; cout = 9321342048700.468750
a = 6964235.439557; b = 9183770.040122; cout = 9327179765196.662109
a = 6964236.871740; b = 9193634.550272; cout = 9333212836735.115234
a = 6974132.897210; b = 8789193.369983; cout = 9082363155618.074219
a = 6974072.162065; b = 8799055.576480; cout = 9084265190914.648438
a = 6974073.594248; b = 8808920.086629; cout = 9085515878507.632812
a = 6974075.026431; b = 8818784.596779; cout = 9086961921142.951172
a = 6974076.458614; b = 8828649.106928; cout = 9088603318820.558594
a = 6974077.890796; b = 8838513.617077; cout = 9090440071540.505859
a = 6974079.322979; b = 8848378.127227; cout = 9092472179302.769531
a = 6974080.755162; b = 8858242.637376; cout = 9094699642107.353516
a = 6974082.187345; b = 8868107.147526; cout = 9097122459954.193359
a = 6974083.619528; b = 8877971.657675; cout = 9099740632843.443359
a = 6974085.051711; b = 8887836.167824; cout = 9102554160774.958984
a = 6974086.483894; b = 8897700.677974; cout = 9105563043748.830078
a = 6974087.916077; b = 8907565.188123; cout = 9108767281765.025391
a = 6974089.348260; b = 8917429.698272; cout = 9112166874823.466797
a = 6974090.780443; b = 8927294.208422; cout = 9115761822924.318359
a = 6974092.212626; b = 8937158.718571; cout = 9119552126067.398438
a = 6974093.644809; b = 8947023.228721; cout = 9123537784252.833984
a = 6974095.076992; b = 8956887.738870; cout = 9127718797480.617188
a = 6974096.509175; b = 8966752.249019; cout = 9132095165750.654297
a = 6974097.941358; b = 8976616.759169; cout = 9136666889063.041016
a = 6974099.373541; b = 8986481.269318; cout = 9141433967417.783203
a = 6974100.805724; b = 8996345.779467; cout = 9146396400814.802734
a = 6974102.237907; b = 9006210.289617; cout = 9151554189254.146484
a = 6974103.670090; b = 9016074.799766; cout = 9156907332735.798828
a = 6974105.102273; b = 9025939.309916; cout = 9162455831259.785156
a = 6974106.534456; b = 9035803.820065; cout = 9168199684826.076172
a = 6974107.966639; b = 9045668.330214; cout = 9174138893434.683594
a = 6974109.398822; b = 9055532.840364; cout = 9180273457085.626953
a = 6974110.831005; b = 9065397.350513; cout = 9186603375778.878906
a = 6974112.263188; b = 9075261.860662; cout = 9193128649514.466797
a = 6974113.695371; b = 9085126.370812; cout = 9199849278292.351562
a = 6974115.127554; b = 9094990.880961; cout = 9206765262112.568359
a = 6983938.960414; b = 8621495.825974; cout = 8939883983954.234375
a = 6983940.392597; b = 8631360.336124; cout = 8940454743490.373047
a = 6983941.824780; b = 8641224.846273; cout = 8941220858068.888672
a = 6983943.256963; b = 8651089.356422; cout = 8942182327689.691406
a = 6983944.689146; b = 8660953.866572; cout = 8943339152352.806641
a = 6983946.121329; b = 8670818.376721; cout = 8944691332058.226562
a = 6983947.553512; b = 8680682.886870; cout = 8946238866806.031250
a = 6983948.985695; b = 8690547.397020; cout = 8947981756596.076172
a = 6983950.417878; b = 8700411.907169; cout = 8949920001428.470703
a = 6983951.850061; b = 8710276.417319; cout = 8952053601303.210938
a = 6983953.282244; b = 8720140.927468; cout = 8954382556220.232422
a = 6983954.714427; b = 8730005.437617; cout = 8956906866179.568359
a = 6983956.146610; b = 8739869.947767; cout = 8959626531181.248047
a = 6983957.578793; b = 8749734.457916; cout = 8962541551225.228516
a = 6983959.010976; b = 8759598.968065; cout = 8965651926311.562500
a = 6983960.443159; b = 8769463.478215; cout = 8968957656440.152344
a = 6983961.875342; b = 8779327.988364; cout = 8972458741611.085938
a = 6983963.307525; b = 8789192.498514; cout = 8976155181824.359375
a = 6983964.739708; b = 8799057.008663; cout = 8980046977079.933594
a = 6983966.171891; b = 8808921.518812; cout = 8984134127377.794922
a = 6983967.604074; b = 8818786.028962; cout = 8988416632718.035156
a = 6983969.036257; b = 8828650.539111; cout = 8992894493100.552734
a = 6983970.468440; b = 8838515.049260; cout = 8997567708525.408203
a = 6983971.900623; b = 8848379.559410; cout = 9002436278992.570312
a = 6983973.332806; b = 8858244.069559; cout = 9007500204502.060547
a = 6983974.764989; b = 8868108.579709; cout = 9012759485053.851562
a = 6983976.197172; b = 8877973.089858; cout = 9018214120647.974609
a = 6983977.629355; b = 8887837.600007; cout = 9023864111284.433594
a = 6983979.061538; b = 8897702.110157; cout = 9029709456963.185547
a = 6983980.493721; b = 8907566.620306; cout = 9035750157684.257812
a = 6983981.925904; b = 8917431.130455; cout = 9041986213447.625000
a = 6983983.358087; b = 8927295.640605; cout = 9048417624253.363281
a = 6983984.790270; b = 8937160.150754; cout = 9055044390101.376953
a = 6983986.222453; b = 8947024.660904; cout = 9061866510991.707031
a = 6983987.654636; b = 8956889.171053; cout = 9068883986924.386719
a = 6983989.086819; b = 8966753.681202; cout = 9076096817899.367188
a = 6983990.519002; b = 8976618.191352; cout = 9083505003916.644531
a = 6983991.951185; b = 8986482.701501; cout = 9091108544976.294922
a = 6983993.383368; b = 8996347.211650; cout = 9098907441078.214844
a = 6993789.846887; b = 8266378.178287; cout = 9477740343830.181641
a = 6993791.279070; b = 8276242.688437; cout = 9480600608488.304688
a = 6993792.711253; b = 8286107.198586; cout = 9483656228188.777344
a = 6993794.143436; b = 8295971.708735; cout = 9486907202931.548828
a = 6993795.575619; b = 8305836.218885; cout = 9490353532716.656250
a = 6993797.007802; b = 8315700.729034; cout = 9493995217544.037109
a = 6993798.439985; b = 8325565.239183; cout = 9497832257413.785156
a = 6993799.872168; b = 8335429.749333; cout = 9501864652325.812500
a = 6993801.304351; b = 8345294.259482; cout = 9506092402280.191406
a = 6993802.736534; b = 8355158.769632; cout = 9510515507276.869141
a = 6993804.168717; b = 8365023.279781; cout = 9515133967315.857422
a = 6993805.600900; b = 8374887.789930; cout = 9519947782397.187500
a = 6993807.033083; b = 8384752.300080; cout = 9524956952520.806641
a = 6993808.465266; b = 8394616.810229; cout = 9530161477686.771484
a = 6993809.897449; b = 8404481.320378; cout = 9535561357895.033203
a = 6993811.329632; b = 8414345.830528; cout = 9541156593145.585938
a = 6993812.761815; b = 8424210.340677; cout = 9546947183438.498047
a = 6993814.193998; b = 8434074.850826; cout = 9552933128773.755859
a = 6993815.626181; b = 8443939.360976; cout = 9559114429151.283203
a = 6993817.058364; b = 8453803.871125; cout = 9565491084571.142578
a = 6993818.490547; b = 8463668.381275; cout = 9572063095033.281250
a = 6993819.922730; b = 8473532.891424; cout = 9578830460537.808594
a = 6993821.354913; b = 8483397.401573; cout = 9585793181084.619141
a = 6993822.787096; b = 8493261.911723; cout = 9592951256673.769531
a = 6993824.219279; b = 8503126.421872; cout = 9600304687305.199219
a = 6993825.651462; b = 8512990.932021; cout = 9607853472978.949219
a = 6993827.083645; b = 8522855.442171; cout = 9615597613695.054688
a = 6993828.515828; b = 8532719.952320; cout = 9623537109453.455078
a = 6993829.948011; b = 8542584.462470; cout = 9631671960254.148438
a = 6993831.380194; b = 8552448.972619; cout = 9640002166097.212891
a = 6993832.812377; b = 8562313.482768; cout = 9648527726982.558594
a = 6993827.241509; b = 8591903.727709; cout = 8831343408416.400391
a = 6993828.673692; b = 8601768.237858; cout = 8834164565530.539062
a = 6993830.105875; b = 8611632.748008; cout = 8837181077686.964844
a = 6993831.538058; b = 8621497.258157; cout = 8840392944885.753906
a = 6993832.970241; b = 8631361.768307; cout = 8843800167126.849609
a = 6993834.402424; b = 8641226.278456; cout = 8847402744410.210938
a = 6993835.834607; b = 8651090.788605; cout = 8851200676735.927734
a = 6993837.266790; b = 8660955.298755; cout = 8855193964103.962891
a = 6993838.698973; b = 8670819.808904; cout = 8859382606514.285156
a = 6993840.131156; b = 8680684.319053; cout = 8863766603966.968750
a = 6993841.563339; b = 8690548.829203; cout = 8868345956461.958984
a = 6993842.995522; b = 8700413.339352; cout = 8873120663999.255859
a = 6993844.427705; b = 8710277.849502; cout = 8878090726578.873047
a = 6993845.859888; b = 8720142.359651; cout = 8883256144200.822266
a = 6993847.292071; b = 8730006.869800; cout = 8888616916865.076172
a = 6993848.724253; b = 8739871.379950; cout = 8894173044571.654297
a = 6993850.156436; b = 8749735.890099; cout = 8899924527320.550781
a = 6993851.588619; b = 8759600.400248; cout = 8905871365111.763672
a = 6993853.020802; b = 8769464.910398; cout = 8912013557945.275391
a = 6993854.452985; b = 8779329.420547; cout = 8918351105821.117188
a = 6993855.885168; b = 8789193.930697; cout = 8924884008739.283203
a = 6993857.317351; b = 8799058.440846; cout = 8931612266699.775391
a = 6993858.749534; b = 8808922.950995; cout = 8938535879702.597656
a = 6993860.181717; b = 8818787.461145; cout = 8945654847747.697266
a = 6993861.613900; b = 8828651.971294; cout = 8952969170835.130859
a = 6993863.046083; b = 8838516.481443; cout = 8960478848964.904297
a = 6993864.478266; b = 8848380.991593; cout = 8968183882136.978516
a = 6993865.910449; b = 8858245.501742; cout = 8976084270351.343750
a = 6993867.342632; b = 8868110.011892; cout = 8984180013608.066406
a = 6993868.774815; b = 8877974.522041; cout = 8992471111907.089844
a = 6993870.206998; b = 8887839.032190; cout = 9000957565248.429688
a = 6993865.061002; b = 8897702.884938; cout = 9009633600816.240234
a = 7003643.755590; b = 8000037.836437; cout = 9271496312736.365234
a = 7003645.187773; b = 8009902.346587; cout = 9271918453956.792969
a = 7003646.619956; b = 8019766.856736; cout = 9272535950219.578125
a = 7003648.052139; b = 8029631.366885; cout = 9273348801524.691406
a = 7003649.484322; b = 8039495.877035; cout = 9274357007872.107422
a = 7003650.916505; b = 8049360.387184; cout = 9275560569261.824219
a = 7003652.348688; b = 8059224.897333; cout = 9276959485693.861328
a = 7003653.780871; b = 8069089.407483; cout = 9278553757168.244141
a = 7003655.213054; b = 8078953.917632; cout = 9280343383684.955078
a = 7003656.645237; b = 8088818.427781; cout = 9282328365243.947266
a = 7003658.077420; b = 8098682.937931; cout = 9284508701845.230469
a = 7003659.509603; b = 8108547.448080; cout = 9286884393488.884766
a = 7003660.941786; b = 8118411.958230; cout = 9289455440174.826172
a = 7003662.373969; b = 8128276.468379; cout = 9292221841903.128906
a = 7003663.806152; b = 8138140.978528; cout = 9295183598673.673828
a = 7003665.238335; b = 8148005.488678; cout = 9298340710486.595703
a = 7003666.670518; b = 8157869.998827; cout = 9301693177341.828125
a = 7003668.102701; b = 8167734.508976; cout = 9305240999239.373047
a = 7003669.534884; b = 8177599.019126; cout = 9308984176179.259766
a = 7003670.967067; b = 8187463.529275; cout = 9312922708161.431641
a = 7003672.399250; b = 8197328.039425; cout = 9317056595185.916016
a = 7003673.831433; b = 8207192.549574; cout = 9321385837252.738281
a = 7003675.263616; b = 8217057.059723; cout = 9325910434361.851562
a = 7003676.695799; b = 8226921.569873; cout = 9330630386513.345703
a = 7003678.127982; b = 8236786.080022; cout = 9335545693707.093750
a = 7003679.560165; b = 8246650.590171; cout = 9340656355943.175781
a = 7003680.992348; b = 8256515.100321; cout = 9345962373221.617188
a = 7003682.424531; b = 8266379.610470; cout = 9351463745542.326172
a = 7003683.856714; b = 8276244.120620; cout = 9357160472905.371094
a = 7003685.288897; b = 8286108.630769; cout = 9363052555310.724609
a = 7003686.721080; b = 8295973.140918; cout = 9369139992758.373047
a = 7003688.153263; b = 8305837.651068; cout = 9375422785248.406250
a = 7003689.585446; b = 8315702.161217; cout = 9381900932780.695312
a = 7003691.017629; b = 8325566.671366; cout = 9388574435355.345703
a = 7003692.449812; b = 8335431.181516; cout = 9395443292972.298828
a = 7003693.881995; b = 8345295.691665; cout = 9402507505631.570312
a = 7003695.314178; b = 8355160.201814; cout = 9409767073333.173828
a = 7003696.746361; b = 8365024.711964; cout = 9417221996077.042969
a = 7003698.178544; b = 8374889.222113; cout = 9424872273863.275391
a = 7003699.610727; b = 8384753.732263; cout = 9432717906691.804688
a = 7003701.042910; b = 8394618.242412; cout = 9440758894562.679688
a = 7003702.475093; b = 8404482.752561; cout = 9448995237475.861328
a = 7003703.907276; b = 8414347.262711; cout = 9457426935431.341797
a = 7003705.339459; b = 8424211.772860; cout = 9466053988429.146484
a = 7003706.771642; b = 8434076.283009; cout = 9474876396469.291016
a = 7003708.203824; b = 8443940.793159; cout = 9483894159551.718750
a = 7003709.636007; b = 8453805.303308; cout = 9493107277676.486328
a = 7003711.068190; b = 8463669.813458; cout = 9502515750843.589844
a = 7003712.500373; b = 8473534.323607; cout = 9512119579052.990234
a = 7003713.932556; b = 8483398.833756; cout = 9521918762304.677734
a = 7003715.364739; b = 8493263.343906; cout = 9531913300598.740234
a = 7003716.796922; b = 8503127.854055; cout = 9542103193935.085938
a = 7003718.229105; b = 8512992.364204; cout = 9552488442313.755859
a = 7003719.661288; b = 8522856.874354; cout = 9563069045734.738281
a = 7003721.093471; b = 8532721.384503; cout = 9573845004198.060547
a = 7003722.525654; b = 8542585.894653; cout = 9584816317703.695312
a = 7003723.957837; b = 8552450.404802; cout = 9595982986251.638672
a = 7003715.522603; b = 8562311.629444; cout = 8763325755484.619141
a = 7003716.954786; b = 8572176.139593; cout = 8768397310176.675781
a = 7003718.386969; b = 8582040.649743; cout = 8773664219911.060547
a = 7003719.819152; b = 8591905.159892; cout = 8779126484687.794922
a = 7003721.251335; b = 8601769.670041; cout = 8784784104506.814453
a = 7003722.683518; b = 8611634.180191; cout = 8790637079368.144531
a = 7003724.115701; b = 8621498.690340; cout = 8796685409271.839844
a = 7003725.547884; b = 8631363.200490; cout = 8802929094217.806641
a = 7003726.980067; b = 8641227.710639; cout = 8809368134206.117188
a = 7003728.412250; b = 8651092.220788; cout = 8816002529236.744141
a = 7003729.844433; b = 8660956.730938; cout = 8822832279309.675781
a = 7003731.276616; b = 8670821.241087; cout = 8829857384424.931641
a = 7003732.708799; b = 8680685.751236; cout = 8837077844582.498047
a = 7003734.140982; b = 8690550.261386; cout = 8844493659782.419922
a = 7003735.573165; b = 8700414.771535; cout = 8852104830024.601562
a = 7003737.005348; b = 8710279.281685; cout = 8859911355309.115234
a = 7003738.437531; b = 8720143.791834; cout = 8867913235635.966797
a = 7003739.869714; b = 8730008.301983; cout = 8876110471005.142578
a = 7003741.301897; b = 8739872.812133; cout = 8884503061416.625000
a = 7003742.734080; b = 8749737.322282; cout = 8893091006870.443359
a = 7003744.166263; b = 8759601.832431; cout = 8901874307366.537109
a = 7003745.598446; b = 8769466.342581; cout = 8910852962904.970703
a = 7003747.030629; b = 8779330.852730; cout = 8920026973485.726562
a = 7003748.462812; b = 8789195.362880; cout = 8929396339108.818359
a = 7003733.448137; b = 8799058.229453; cout = 8938900941934.482422
a = 7013497.664293; b = 7733697.494587; cout = 9110280624881.863281
a = 7013499.096476; b = 7743562.004737; cout = 9108264642664.667969
a = 7013500.528659; b = 7753426.514886; cout = 9106444015489.750000
a = 7013501.960842; b = 7763291.025035; cout = 9104818743357.166016
a = 7013503.393025; b = 7773155.535185; cout = 9103388826266.925781
a = 7013504.825208; b = 7783020.045334; cout = 9102154264218.955078
a = 7013506.257391; b = 7792884.555483; cout = 9101115057213.341797
a = 7013507.689574; b = 7802749.065633; cout = 9100271205250.025391
a = 7013509.121757; b = 7812613.575782; cout = 9099622708329.025391
a = 7013510.553940; b = 7822478.085931; cout = 9099169566450.353516
a = 7013511.986123; b = 7832342.596081; cout = 9098911779613.992188
a = 7013513.418306; b = 7842207.106230; cout = 9098849347819.976562
a = 7013514.850489; b = 7852071.616380; cout = 9098982271068.230469
a = 7013516.282672; b = 7861936.126529; cout = 9099310549358.816406
a = 7013517.714855; b = 7871800.636678; cout = 9099834182691.740234
a = 7013519.147038; b = 7881665.146828; cout = 9100553171066.982422
a = 7013520.579221; b = 7891529.656977; cout = 9101467514484.494141
a = 7013522.011404; b = 7901394.167126; cout = 9102577212944.398438
a = 7013523.443587; b = 7911258.677276; cout = 9103882266446.560547
a = 7013524.875770; b = 7921123.187425; cout = 9105382674991.101562
a = 7013526.307953; b = 7930987.697575; cout = 9107078438577.919922
a = 7013527.740136; b = 7940852.207724; cout = 9108969557207.021484
a = 7013529.172319; b = 7950716.717873; cout = 9111056030878.511719
a = 7013530.604502; b = 7960581.228023; cout = 9113337859592.277344
a = 7013532.036685; b = 7970445.738172; cout = 9115815043348.410156
a = 7013533.468868; b = 7980310.248321; cout = 9118487582146.787109
a = 7013534.901051; b = 7990174.758471; cout = 9121355475987.529297
a = 7013536.333234; b = 8000039.268620; cout = 9124418724870.576172
a = 7013537.765417; b = 8009903.778770; cout = 9127677328795.933594
a = 7013539.197600; b = 8019768.288919; cout = 9131131287763.638672
a = 7013540.629783; b = 8029632.799068; cout = 9134780601773.601562
a = 7013542.061966; b = 8039497.309218; cout = 9138625270825.919922
a = 7013543.494149; b = 8049361.819367; cout = 9142665294920.591797
a = 7013544.926332; b = 8059226.329516; cout = 9146900674057.527344
a = 7013546.358515; b = 8069090.839666; cout = 9151331408236.804688
a = 7013547.790698; b = 8078955.349815; cout = 9155957497458.382812
a = 7013549.222881; b = 8088819.859964; cout = 9160778941722.292969
a = 7013550.655064; b = 8098684.370114; cout = 9165795741028.537109
a = 7013552.087247; b = 8108548.880263; cout = 9171007895377.080078
a = 7013553.519430; b = 8118413.390413; cout = 9176415404767.912109
a = 7013554.951613; b = 8128277.900562; cout = 9182018269201.111328
a = 7013556.383796; b = 8138142.410711; cout = 9187816488676.601562
a = 7013557.815979; b = 8148006.920861; cout = 9193810063194.447266
a = 7013559.248161; b = 8157871.431010; cout = 9199998992754.548828
a = 7013560.680344; b = 8167735.941159; cout = 9206383277357.019531
a = 7013562.112527; b = 8177600.451309; cout = 9212962917001.812500
a = 7013563.544710; b = 8187464.961458; cout = 9219737911688.871094
a = 7013564.976893; b = 8197329.471608; cout = 9226708261418.275391
a = 7013566.409076; b = 8207193.981757; cout = 9233873966189.998047
a = 7013567.841259; b = 8217058.491906; cout = 9241235026004.019531
a = 7013569.273442; b = 8226923.002056; cout = 9248791440860.408203
a = 7013570.705625; b = 8236787.512205; cout = 9256543210759.060547
a = 7013572.137808; b = 8246652.022354; cout = 9264490335700.070312
a = 7013573.569991; b = 8256516.532504; cout = 9272632815683.376953
a = 7013575.002174; b = 8266381.042653; cout = 9280970650709.009766
a = 7013576.434357; b = 8276245.552803; cout = 9289503840776.988281
a = 7013577.866540; b = 8286110.062952; cout = 9298232385887.238281
a = 7013579.298723; b = 8295974.573101; cout = 9307156286039.822266
a = 7013580.730906; b = 8305839.083251; cout = 9316275541234.724609
a = 7013582.163089; b = 8315703.593400; cout = 9325590151471.947266
a = 7013583.595272; b = 8325568.103549; cout = 9335100116751.490234
a = 7013585.027455; b = 8335432.613699; cout = 9344805437073.351562
a = 7013586.459638; b = 8345297.123848; cout = 9354706112437.492188
a = 7013587.891821; b = 8355161.633997; cout = 9364802142844.009766
a = 7013589.324004; b = 8365026.144147; cout = 9375093528292.812500
a = 7013590.756187; b = 8374890.654296; cout = 9385580268783.962891
a = 7013592.188370; b = 8384755.164446; cout = 9396262364317.398438
a = 7013593.620553; b = 8394619.674595; cout = 9407139814893.146484
a = 7013595.052736; b = 8404484.184744; cout = 9418212620511.238281
a = 7013596.484919; b = 8414348.694894; cout = 9429480781171.644531
a = 7013597.917102; b = 8424213.205043; cout = 9440944296874.335938
a = 7013599.349285; b = 8434077.715192; cout = 9452603167619.392578
a = 7013600.781468; b = 8443942.225342; cout = 9464457393406.720703
a = 7013602.213651; b = 8453806.735491; cout = 9476506974236.410156
a = 7013603.645834; b = 8463671.245641; cout = 9488751910108.404297
a = 7013605.078017; b = 8473535.755790; cout = 9501192201022.716797
a = 7013606.510200; b = 8483400.265939; cout = 9513827846979.353516
a = 7013607.942383; b = 8493264.776089; cout = 9526658847978.277344
a = 7013609.374566; b = 8503129.286238; cout = 9539685204019.533203
a = 7013610.806749; b = 8512993.796387; cout = 9552906915103.128906
a = 7013603.359544; b = 8522855.349646; cout = 8728705821084.299805
a = 7013603.803698; b = 8532719.531179; cout = 8735831025158.784180
a = 7013605.235881; b = 8542584.041328; cout = 8743152977428.807617
a = 7013606.668064; b = 8552448.551478; cout = 8750670284741.131836
a = 7013608.100247; b = 8562313.061627; cout = 8758382947095.825195
a = 7013609.532430; b = 8572177.571776; cout = 8766290964492.801758
a = 7013610.964613; b = 8582042.081926; cout = 8774394336932.099609
a = 7013612.396796; b = 8591906.592075; cout = 8782693064413.714844
a = 7013613.828979; b = 8601771.102224; cout = 8791187146937.657227
a = 7013615.261162; b = 8611635.612374; cout = 8799876584503.904297
a = 7013616.693345; b = 8621500.122523; cout = 8808761377112.501953
a = 7013618.125528; b = 8631364.632673; cout = 8817841524763.373047
a = 7013619.557710; b = 8641229.142822; cout = 8827117027456.595703
a = 7013620.989893; b = 8651093.652971; cout = 8836587885192.105469
a = 7013622.422076; b = 8660958.163121; cout = 8846254097969.937500
a = 7013623.854259; b = 8670822.673270; cout = 8856115665790.150391
a = 7013625.286442; b = 8680687.183419; cout = 8866172588652.601562
a = 7013626.718625; b = 8690551.693569; cout = 8876424866557.380859
a = 7023351.572996; b = 7467357.152737; cout = 8994093280266.767578
a = 7023353.005179; b = 7477221.662886; cout = 8989639174611.853516
a = 7023354.437362; b = 7487086.173036; cout = 8985380423999.287109
a = 7023355.869545; b = 7496950.683185; cout = 8981317028429.011719
a = 7023357.301728; b = 7506815.193335; cout = 8977448987901.042969
a = 7023358.733911; b = 7516679.703484; cout = 8973776302415.453125
a = 7023360.166094; b = 7526544.213633; cout = 8970298971972.140625
a = 7023361.598277; b = 7536408.723783; cout = 8967016996571.166016
a = 7023363.030460; b = 7546273.233932; cout = 8963930376212.494141
a = 7023364.462643; b = 7556137.744081; cout = 8961039110896.136719
a = 7023365.894826; b = 7566002.254231; cout = 8958343200622.105469
a = 7023367.327009; b = 7575866.764380; cout = 8955842645390.406250
a = 7023368.759192; b = 7585731.274530; cout = 8953537445200.992188
a = 7023370.191375; b = 7595595.784679; cout = 8951427600053.929688
a = 7023371.623558; b = 7605460.294828; cout = 8949513109949.121094
a = 7023373.055741; b = 7615324.804978; cout = 8947793974886.705078
a = 7023374.487924; b = 7625189.315127; cout = 8946270194866.615234
a = 7023375.920107; b = 7635053.825276; cout = 8944941769888.769531
a = 7023377.352290; b = 7644918.335426; cout = 8943808699953.310547
a = 7023378.784473; b = 7654782.845575; cout = 8942870985060.097656
a = 7023380.216656; b = 7664647.355725; cout = 8942128625209.240234
a = 7023381.648839; b = 7674511.865874; cout = 8941581620400.718750
a = 7023383.081022; b = 7684376.376023; cout = 8941229970634.498047
a = 7023384.513205; b = 7694240.886173; cout = 8941073675910.574219
a = 7023385.945388; b = 7704105.396322; cout = 8941112736229.029297
